"palabra","idioma"
"1","spanish"
"2","spanish"
"3","spanish"
"4","spanish"
"5","spanish"
"6","spanish"
"7","spanish"
"8","spanish"
"9","spanish"
"_","spanish"
"a","spanish"
"actualmente","spanish"
"acuerdo","spanish"
"adelante","spanish"
"ademas","spanish"
"adrede","spanish"
"afirmo","spanish"
"agrego","spanish"
"ahi","spanish"
"ahora","spanish"
"al","spanish"
"algo","spanish"
"alguna","spanish"
"algunas","spanish"
"alguno","spanish"
"algunos","spanish"
"algún","spanish"
"alli","spanish"
"alrededor","spanish"
"ambos","spanish"
"ampleamos","spanish"
"antano","spanish"
"antaño","spanish"
"ante","spanish"
"anterior","spanish"
"antes","spanish"
"apenas","spanish"
"aproximadamente","spanish"
"aquel","spanish"
"aquella","spanish"
"aquellas","spanish"
"aquello","spanish"
"aquellos","spanish"
"aqui","spanish"
"arriba","spanish"
"arribaabajo","spanish"
"aseguro","spanish"
"asi","spanish"
"atras","spanish"
"aun","spanish"
"aunque","spanish"
"ayer","spanish"
"añadio","spanish"
"aún","spanish"
"b","spanish"
"bajo","spanish"
"bastante","spanish"
"bien","spanish"
"breve","spanish"
"buen","spanish"
"buena","spanish"
"buenas","spanish"
"bueno","spanish"
"buenos","spanish"
"c","spanish"
"cada","spanish"
"casi","spanish"
"cerca","spanish"
"cierta","spanish"
"ciertas","spanish"
"cierto","spanish"
"ciertos","spanish"
"cinco","spanish"
"claro","spanish"
"comento","spanish"
"como","spanish"
"con","spanish"
"conmigo","spanish"
"conocer","spanish"
"conseguimos","spanish"
"conseguir","spanish"
"considera","spanish"
"considero","spanish"
"consigo","spanish"
"consigue","spanish"
"consiguen","spanish"
"consigues","spanish"
"contigo","spanish"
"contra","spanish"
"cosas","spanish"
"creo","spanish"
"cual","spanish"
"cuales","spanish"
"cualquier","spanish"
"cuando","spanish"
"cuanta","spanish"
"cuantas","spanish"
"cuanto","spanish"
"cuantos","spanish"
"cuatro","spanish"
"cuenta","spanish"
"d","spanish"
"da","spanish"
"dado","spanish"
"dan","spanish"
"dar","spanish"
"de","spanish"
"debajo","spanish"
"debe","spanish"
"deben","spanish"
"debido","spanish"
"decir","spanish"
"dejo","spanish"
"del","spanish"
"delante","spanish"
"demasiado","spanish"
"demas","spanish"
"dentro","spanish"
"deprisa","spanish"
"desde","spanish"
"despacio","spanish"
"despues","spanish"
"detras","spanish"
"dia","spanish"
"dias","spanish"
"dice","spanish"
"dicen","spanish"
"dicho","spanish"
"dieron","spanish"
"diferente","spanish"
"diferentes","spanish"
"dijeron","spanish"
"dijo","spanish"
"dio","spanish"
"donde","spanish"
"dos","spanish"
"durante","spanish"
"e","spanish"
"ejemplo","spanish"
"el","spanish"
"ella","spanish"
"ellas","spanish"
"ello","spanish"
"ellos","spanish"
"embargo","spanish"
"empleais","spanish"
"emplean","spanish"
"emplear","spanish"
"empleas","spanish"
"empleo","spanish"
"en","spanish"
"encima","spanish"
"encuentra","spanish"
"enfrente","spanish"
"enseguida","spanish"
"entonces","spanish"
"entre","spanish"
"era","spanish"
"erais","spanish"
"eramos","spanish"
"eran","spanish"
"eras","spanish"
"eres","spanish"
"es","spanish"
"esa","spanish"
"esas","spanish"
"ese","spanish"
"eso","spanish"
"esos","spanish"
"esta","spanish"
"estaba","spanish"
"estabais","spanish"
"estaban","spanish"
"estabas","spanish"
"estad","spanish"
"estada","spanish"
"estadas","spanish"
"estado","spanish"
"estados","spanish"
"estais","spanish"
"estamos","spanish"
"estan","spanish"
"estando","spanish"
"estar","spanish"
"estaremos","spanish"
"estara","spanish"
"estaran","spanish"
"estaras","spanish"
"estare","spanish"
"estareis","spanish"
"estaria","spanish"
"estariais","spanish"
"estariamos","spanish"
"estarian","spanish"
"estarias","spanish"
"estas","spanish"
"este","spanish"
"estemos","spanish"
"esto","spanish"
"estos","spanish"
"estoy","spanish"
"estuve","spanish"
"estuviera","spanish"
"estuvierais","spanish"
"estuvieran","spanish"
"estuvieras","spanish"
"estuvieron","spanish"
"estuviese","spanish"
"estuvieseis","spanish"
"estuviesen","spanish"
"estuvieses","spanish"
"estuvimos","spanish"
"estuviste","spanish"
"estuvisteis","spanish"
"estuvieramos","spanish"
"estuviesemos","spanish"
"estuvo","spanish"
"estabamos","spanish"
"esteis","spanish"
"esten","spanish"
"estes","spanish"
"ex","spanish"
"excepto","spanish"
"existe","spanish"
"existen","spanish"
"explico","spanish"
"expreso","spanish"
"f","spanish"
"fin","spanish"
"final","spanish"
"fue","spanish"
"fuera","spanish"
"fuerais","spanish"
"fueran","spanish"
"fueras","spanish"
"fueron","spanish"
"fuese","spanish"
"fueseis","spanish"
"fuesen","spanish"
"fueses","spanish"
"fui","spanish"
"fuimos","spanish"
"fuiste","spanish"
"fuisteis","spanish"
"fueramos","spanish"
"fuesemos","spanish"
"g","spanish"
"general","spanish"
"gran","spanish"
"grandes","spanish"
"gueno","spanish"
"h","spanish"
"ha","spanish"
"haber","spanish"
"habia","spanish"
"habida","spanish"
"habidas","spanish"
"habido","spanish"
"habidos","spanish"
"habiendo","spanish"
"habla","spanish"
"hablan","spanish"
"habremos","spanish"
"habra","spanish"
"habran","spanish"
"habras","spanish"
"habre","spanish"
"habreis","spanish"
"habria","spanish"
"habriais","spanish"
"habriamos","spanish"
"habrian","spanish"
"habrias","spanish"
"habeis","spanish"
"habiais","spanish"
"habiamos","spanish"
"habian","spanish"
"habias","spanish"
"hace","spanish"
"haceis","spanish"
"hacemos","spanish"
"hacen","spanish"
"hacer","spanish"
"hacerlo","spanish"
"haces","spanish"
"hacia","spanish"
"haciendo","spanish"
"hago","spanish"
"han","spanish"
"has","spanish"
"hasta","spanish"
"hay","spanish"
"haya","spanish"
"hayamos","spanish"
"hayan","spanish"
"hayas","spanish"
"hayais","spanish"
"he","spanish"
"hecho","spanish"
"hemos","spanish"
"hicieron","spanish"
"hizo","spanish"
"horas","spanish"
"hoy","spanish"
"hube","spanish"
"hubiera","spanish"
"hubierais","spanish"
"hubieran","spanish"
"hubieras","spanish"
"hubieron","spanish"
"hubiese","spanish"
"hubieseis","spanish"
"hubiesen","spanish"
"hubieses","spanish"
"hubimos","spanish"
"hubiste","spanish"
"hubisteis","spanish"
"hubieramos","spanish"
"hubiesemos","spanish"
"hubo","spanish"
"i","spanish"
"igual","spanish"
"incluso","spanish"
"indico","spanish"
"informo","spanish"
"intenta","spanish"
"intentais","spanish"
"intentamos","spanish"
"intentan","spanish"
"intentar","spanish"
"intentas","spanish"
"intento","spanish"
"ir","spanish"
"j","spanish"
"junto","spanish"
"k","spanish"
"l","spanish"
"la","spanish"
"lado","spanish"
"largo","spanish"
"las","spanish"
"le","spanish"
"lejos","spanish"
"les","spanish"
"llego","spanish"
"lleva","spanish"
"llevar","spanish"
"lo","spanish"
"los","spanish"
"luego","spanish"
"lugar","spanish"
"m","spanish"
"mal","spanish"
"manera","spanish"
"manifesto","spanish"
"mas","spanish"
"mayor","spanish"
"me","spanish"
"mediante","spanish"
"medio","spanish"
"mejor","spanish"
"menciono","spanish"
"menos","spanish"
"menudo","spanish"
"mi","spanish"
"mia","spanish"
"mias","spanish"
"mientras","spanish"
"mio","spanish"
"mios","spanish"
"mis","spanish"
"misma","spanish"
"mismas","spanish"
"mismo","spanish"
"mismos","spanish"
"modo","spanish"
"momento","spanish"
"mucha","spanish"
"muchas","spanish"
"mucho","spanish"
"muchos","spanish"
"muy","spanish"
"n","spanish"
"nada","spanish"
"nadie","spanish"
"ni","spanish"
"ninguna","spanish"
"ningunas","spanish"
"ninguno","spanish"
"ningunos","spanish"
"ningún","spanish"
"no","spanish"
"nos","spanish"
"nosotras","spanish"
"nosotros","spanish"
"nuestra","spanish"
"nuestras","spanish"
"nuestro","spanish"
"nuestros","spanish"
"nueva","spanish"
"nuevas","spanish"
"nuevo","spanish"
"nuevos","spanish"
"nunca","spanish"
"o","spanish"
"ocho","spanish"
"os","spanish"
"otra","spanish"
"otras","spanish"
"otro","spanish"
"otros","spanish"
"p","spanish"
"pais","spanish"
"para","spanish"
"parece","spanish"
"parte","spanish"
"partir","spanish"
"pasada","spanish"
"pasado","spanish"
"paìs","spanish"
"peor","spanish"
"pero","spanish"
"pesar","spanish"
"poca","spanish"
"pocas","spanish"
"poco","spanish"
"pocos","spanish"
"podeis","spanish"
"podemos","spanish"
"poder","spanish"
"podria","spanish"
"podriais","spanish"
"podriamos","spanish"
"podrian","spanish"
"podrias","spanish"
"podra","spanish"
"podran","spanish"
"poner","spanish"
"por","spanish"
"que","spanish"
"porque","spanish"
"posible","spanish"
"primer","spanish"
"primera","spanish"
"primero","spanish"
"primeros","spanish"
"principalmente","spanish"
"pronto","spanish"
"propia","spanish"
"propias","spanish"
"propio","spanish"
"propios","spanish"
"proximo","spanish"
"proximos","spanish"
"pudo","spanish"
"pueda","spanish"
"puede","spanish"
"pueden","spanish"
"puedo","spanish"
"pues","spanish"
"q","spanish"
"qeu","spanish"
"quedo","spanish"
"queremos","spanish"
"quien","spanish"
"quienes","spanish"
"quiere","spanish"
"quiza","spanish"
"quizas","spanish"
"r","spanish"
"raras","spanish"
"realizado","spanish"
"realizar","spanish"
"realizo","spanish"
"repente","spanish"
"respecto","spanish"
"s","spanish"
"sabe","spanish"
"sabeis","spanish"
"sabemos","spanish"
"saben","spanish"
"saber","spanish"
"sabes","spanish"
"sal","spanish"
"salvo","spanish"
"se","spanish"
"sea","spanish"
"seamos","spanish"
"sean","spanish"
"seas","spanish"
"segun","spanish"
"segunda","spanish"
"segundo","spanish"
"según","spanish"
"seis","spanish"
"ser","spanish"
"sera","spanish"
"seremos","spanish"
"seran","spanish"
"seras","spanish"
"sere","spanish"
"sereis","spanish"
"seria","spanish"
"seriais","spanish"
"seriamos","spanish"
"serian","spanish"
"serias","spanish"
"seais","spanish"
"señalo","spanish"
"si","spanish"
"sido","spanish"
"siempre","spanish"
"siendo","spanish"
"siete","spanish"
"sigue","spanish"
"siguiente","spanish"
"sin","spanish"
"sino","spanish"
"sobre","spanish"
"sois","spanish"
"sola","spanish"
"solamente","spanish"
"solas","spanish"
"solo","spanish"
"solos","spanish"
"somos","spanish"
"son","spanish"
"soy","spanish"
"soyos","spanish"
"su","spanish"
"supuesto","spanish"
"sus","spanish"
"suya","spanish"
"suyas","spanish"
"suyo","spanish"
"suyos","spanish"
"t","spanish"
"tal","spanish"
"tambien","spanish"
"tampoco","spanish"
"tan","spanish"
"tanto","spanish"
"tarde","spanish"
"te","spanish"
"temprano","spanish"
"tendremos","spanish"
"tendra","spanish"
"tendran","spanish"
"tendras","spanish"
"tendre","spanish"
"tendreis","spanish"
"tendria","spanish"
"tendriais","spanish"
"tendriamos","spanish"
"tendrian","spanish"
"tendrias","spanish"
"tened","spanish"
"teneis","spanish"
"tenemos","spanish"
"tener","spanish"
"tenga","spanish"
"tengamos","spanish"
"tengan","spanish"
"tengas","spanish"
"tengo","spanish"
"tengais","spanish"
"tenida","spanish"
"tenidas","spanish"
"tenido","spanish"
"tenidos","spanish"
"teniendo","spanish"
"tenia","spanish"
"teniais","spanish"
"teniamos","spanish"
"tenian","spanish"
"tenias","spanish"
"tercera","spanish"
"ti","spanish"
"tiempo","spanish"
"tiene","spanish"
"tienen","spanish"
"tienes","spanish"
"toda","spanish"
"todas","spanish"
"todavia","spanish"
"todo","spanish"
"todos","spanish"
"total","spanish"
"trabaja","spanish"
"trabajais","spanish"
"trabajamos","spanish"
"trabajan","spanish"
"trabajar","spanish"
"trabajas","spanish"
"trabajo","spanish"
"tras","spanish"
"trata","spanish"
"traves","spanish"
"tres","spanish"
"tu","spanish"
"tus","spanish"
"tuve","spanish"
"tuviera","spanish"
"tuvierais","spanish"
"tuvieran","spanish"
"tuvieras","spanish"
"tuvieron","spanish"
"tuviese","spanish"
"tuvieseis","spanish"
"tuviesen","spanish"
"tuvieses","spanish"
